title,company,location,url,source,salary,job_type,description,posted_date,tags
"Senior Software Engineer, Global Contractor",Jump,Worldwide,https://remotive.com/remote-jobs/software-development/senior-software-engineer-global-contractor-2088534,Remotive,$30–$60/hour,contract,"<p style=""line-height: 24px; margin-top: 8px; padding: 0px; color: #373e4d; min-height: 1.5em;""><span style=""font-weight: 600;"">Who are we?</span></p>
<p style=""line-height: 24px; margin-top: 8px; padding: 0px; color: #373e4d; min-height: 1.5em;"">Hey there! We are <a href=""http://jumpapp.com/"" rel=""nofollow"" style=""touch-action: manipulation; color: #00b56a;"" target=""_blank"">Jumpapp.com</a>, AI for Financial Advisors. Jump’s mission is to empower financial advisors, firms, and clients to thrive ",2026-01-13T09:27:49,"cloud, postgresql, security, AI/ML, elixir, terraform, Snowflake, chat, financial services, github"
AI Trainer,Anuttacon,Worldwide,https://remotive.com/remote-jobs/ai-ml/ai-trainer-2087694,Remotive,,contract,"<p style=""--tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-scroll-snap-strictness: proximity; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgba(59,130,246,.5); --tw-ring-offset-shadow: 0 0 #0000; --tw-ring-shadow: 0 0 #0000; --tw-shadow: 0 0 #0000; --tw-shadow-colored: 0 0 #0000; border-color: #e5e7eb; cursor: text; padding: 0px; count",2026-01-12T21:00:39,"video, AI/ML, research, game design, data analysis, STEM, R, narrative design"
Quantitative Research Team Lead (Completed),Apexver,Worldwide,https://remotive.com/remote-jobs/software-development/quantitative-research-team-lead-completed-2088533,Remotive,$180k + performance bonus,full_time,"<p>Role Overview</p>
<p>As the Quantitative Research Team Lead, you will head a team of quants and researchers dedicated to developing trading strategies, improving alpha models, and optimizing execution. This role is both hands-on research and strategic leadership: you will drive model development, oversee research pipelines, and mentor team members while shaping Apexver’s research roadmap.</p>
<p>You will partner with traders, engineers, and data scientists to push the boundaries of what’s pos",2026-01-12T13:19:44,"C++, python, AI/ML, research, trading, risk management, team lead, testing, computer science, infrastructure, statistics"
Office Assistant,Coalition Technologies ,Worldwide,https://remotive.com/remote-jobs/marketing/office-assistant-1680495,Remotive,"$31,2k- $52k",full_time,"<p class=""h3"">WHY YOU SHOULD APPLY:</p>
<p> </p>
<p>Coalition Technologies is devoted to delivering clients the highest quality work while providing our team a fun, thriving, and innovative environment. Along with the opportunity for tremendous career growth and rapid advancement, CT offers:</p>
<ul style="""">
<li style="""">The most competitive profit-sharing bonus plan in the industry, paying up to 50% of company profits to full-time employees each month!</li>
<li style="""">A highly competitive Pa",2026-01-11T20:30:35,"CSS, excel, frontend, git, html, illustrator, magento, photoshop, php, shopify, wordpress, MySQL, startup, responsive, themes, bootstrap, insurance, jQuery, Ajax"
"Executive Assistant & Accountability Partner (Full‑Time, Remote, ET Hours)",N/A,Worldwide,https://remotive.com/remote-jobs/all-others/executive-assistant-accountability-partner-fulltime-remote-et-hours-2087132,Remotive,,full_time,"<p dir=""ltr"" style=""line-height: 1.38; margin-top: 12pt; margin-bottom: 12pt;""><span style=""color: #000000; background-color: transparent; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><strong>About the role</strong></span></p>
<p dir=""ltr"" style=""line-height: 1.38; margin-top: 12pt; margin-bottom: 12pt;""><span style=""color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text",2026-01-10T23:00:36,"AI/ML, documentation, asana, executive assistant, SLA, travel"
iOS Developer,nooro,USA,https://remotive.com/remote-jobs/software-development/ios-developer-1956455,Remotive,$60k-$130k (depending on experience),full_time,"<p style=""box-sizing: inherit; margin: var(--artdeco-reset-base-margin-zero); padding: var(--artdeco-reset-base-padding-zero); border: var(--artdeco-reset-base-border-zero); vertical-align: var(--artdeco-reset-base-vertical-align-baseline); line-height: 1.5; color: rgba(0, 0, 0, 0.9);""><span style=""box-sizing: inherit; margin: var(--artdeco-reset-base-margin-zero); padding: var(--artdeco-reset-base-padding-zero); border: var(--artdeco-reset-base-border-zero); vertical-align: var(--artdeco-reset-",2026-01-09T21:15:43,"api, backend, git, ios, security, swift, UI/UX, Figma, agile, healthcare, startup, core data, github, REST, MVVM, mobile development"
Inside Sales Contractor,"Credit Wellness, LLC",Worldwide,https://remotive.com/remote-jobs/sales-business/inside-sales-contractor-2086540,Remotive,OTE $25k - $35k,full_time,"<p dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 0pt; margin-bottom: 0pt; padding: 0pt 0pt 12pt 0pt;""><span style=""color: #2d2d2d; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">About Us</span></p>
<p dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 0pt; margin-bottom: 0pt; padding: 0pt 0pt 12pt 0pt;""><span style=""color: #2d2",2026-01-08T22:01:35,"CRM, google sheets, financial services, Inside Sales"
🇩🇪 EU Freelance Customer Advisor – Inbound Mobile / Prepaid,hey contact heroes GmbH,Europe,https://remotive.com/remote-jobs/customer-service/eu-freelance-customer-advisor-inbound-mobile-prepaid-2088527,Remotive,,freelance,"<p>🇩🇪 This job ad is written in German. 🇩🇪</p>
<p><strong>100% Remote innerhalb der EU (außer Deutschland)</strong></p>
<p><strong>Projektstart: Februar – wir suchen 150 neue Partner!</strong></p>
<p>Die <strong>hey contact heroes</strong> starten ein neues, großes Mobilfunk-Projekt im Bereich <strong>Prepaid Kundenservice</strong> – und dafür suchen wir <strong>zuverlässige, motivierte Freelancer</strong>, die uns langfristig unterstützen.</p>
<p>Wenn Du innerhalb der EU (aber <em>nicht</em> in",2026-01-06T19:11:35,
Freelance Writer,IAPWE,Worldwide,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,Remotive,$50-$75 /hour,freelance,"<p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: normal; color: #000000;"">Our organization is seeking content writers to create articles and blog posts on a variety of topics.</p>
<p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: normal; color: #000000;""> </p>
<p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: no",2026-01-04T17:00:55,REST
Copywriter,Coalition Technologies ,Worldwide,https://remotive.com/remote-jobs/writing/copywriter-1749306,Remotive,$20k -$35k,freelance,"<p class=""h3""> </p>
<div class=""h3"">WHO WE'RE LOOKING FOR</div>
<div class=""h3"">The ideal copywriter has excellent English writing skills and is excited to write high-quality, SEO-driven content that aligns with detailed, client-specific guidelines. Projects most commonly include writing web pages for eCommerce and lead generation business sites such as category pages, product descriptions, and blog posts. Our clientele is constantly evolving. We produce content for these and many other industry",2026-01-02T20:00:34,"accounting, excel, research, data analysis, bookkeeping, google sheets, quickbooks, data entry, insurance, G Suite"
