title,company,location,url,source,salary,job_type,description,posted_date,tags
Graphic Designer Up to 50K (Hybrid/BGC),PMC Recruitment Hub,Taguig Metro Manila PH,"https://www.glassdoor.com.br/job-listing/graphic-designer-up-to-50k-hybrid-bgc-pmc-recruitment-hub-JV_IC2340354_KO0,37_KE38,57.htm?jl=1009885100605&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",JSearch,,Full-time,"Position Overview
We’re looking for a creative, detail-oriented Graphic Designer to join our fast-paced, collaborative environment. This hybrid role is based in the Philippines and offers the opportunity to support a growing U.S.-based brand. You’ll collaborate directly with U.S.-based teams and contribute to projects with national reach and visibility.

In this role, you’ll support the U.S. marketing team and work cross-functionally with Talent Acquisition, Internal Communications, People (HR),",2025-12-23T00:00:00.000Z,"Canva, Adobe Creative Suite, Communication, Graphic Design, Motion Graphics, Video Editing, Animation, Social Media"
Graphic Designer (Part time),San Jose Wellness,Taguig Metro Manila PH,"https://www.glassdoor.com/job-listing/graphic-designer-part-time-san-jose-wellness-JV_IC2340354_KO0,26_KE27,44.htm?jl=1009980635684&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",JSearch,,Full-time,"We are looking for a Graphic Designer to join our beauty and wellness clinic located in BGC, Taguig City. Our office is located in 22nd floor, NAC Tower, BGC. The ideal candidate will be responsible for creating visually appealing and on-brand marketing materials that reflect our clinic’s identity and services.

Qualifications:
• Bachelor’s degree in Marketing, Multimedia Arts, Graphic Design, or any related field
• Proficient in Adobe Photoshop and other graphic design tools (e.g., Illustrator,",2025-12-25T00:00:00.000Z,"Photoshop, Illustrator, Canva, Communication, Graphic Design, Digital Marketing, Social Media"
Graphic Artists,Hogarth Worldwide Manila,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89447773?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Contractor,"Hogarth is the Global Content Experience Company. Part of WPP, Hogarth partners with one in every two of the world's top 100 brands including Coca-Cola, Ford, Rolex, Nestlé, Mondelez and Dyson. With a breadth of experience across an extensive range of sectors, Hogarth oﬀers the unrivalled ability to deliver relevant, engaging, and measurable content across all channels and media - both established and emerging.The number of channels at our fingertips; the need for speed; and the drive for mass p",2026-01-05T00:00:00.000Z,"Photoshop, Illustrator, InDesign, Adobe Creative Suite, Communication, Project Management"
2D Graphic Designer,Blue Spark Solutions,Taguig Metro Manila PH,https://ph.trabajo.org/job-3913-0c17bf9fbe1738d933a78ae77b851cce?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"• Study design briefs and determine requirements for several internal and external needs such as Events & Activations, Social Media, E-Commerce, etc.
• Conceptualize and Execute visuals based on requirement
• Be a model of our three core values: Excellence, Integrity, and Malasakit

Minimum Qualifications
• Proficiency in Photoshop and Illustrator. Sketchup and After Effects a plus
• Strong interpersonal skiills
• Great under pressure and short lead times
• Need to be comfortable with Photoshop,",2026-01-14T00:00:00.000Z,"Photoshop, Illustrator, After Effects, SketchUp, Social Media"
Creator (Video Editor & Graphic Designer),Yokly,Taguig Metro Manila PH,https://ph.prosple.com/graduate-employers/yokly/jobs-internships/creator-video-editor-graphic-designer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Join Yokly as a Creator skilled in video editing and graphic design, producing engaging content for global clients in a fast-paced environment.

Your Role

Here’s what you will be doing:
• Turn raw footage into engaging, platform-ready videos for social media, marketing campaigns, and internal use
• Add motion graphics, color grading, sound design, transitions, and subtitles to elevate each project
• Edit content for Reels, TikTok, YouTube, LinkedIn, and other key platforms
• Align creative dire",,"Photoshop, Illustrator, Figma, Canva, After Effects, Premiere Pro, Adobe Creative Suite, Graphic Design, Motion Graphics, Video Editing, Typography, Social Media"
Junior Graphic Designer (AU Client),Diversify,Taguig Metro Manila PH,https://taguig.ph.expertini.com/job/junior-graphic-designer-au-client-taguig-diversify-d035559edc51/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Summary

To assist the The Build by the company’s creative team in creating the visual style of all consumer marketing materials across multiple digital touchpoints, creating website graphics and promotional campaign assets to surprise and delight our customers, clients and business partners in order to deliver rapid growth, a strong and defensible brand positioning, and achieve all of our commercial objectives.

Responsibilities
• Creation of all daily desktop, mobile web and app assets includi",2026-01-05T00:00:00.000Z,"Photoshop, Illustrator, InDesign, Go, Communication, Problem Solving, Typography"
NO EXPERIENCE REQUIRED: Graphic Artist/Video Editor,iOPEX Tech,Taguig Metro Manila PH,https://ph.jobstreet.com/job/89757372?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,1234123,2026-01-17T00:00:00.000Z,
Graphic Artist: Campaigns & E-commerce Design (Onsite),WHR Global Consulting,Taguig Metro Manila PH,https://ph.jobrapido.com/jobpreview/3185019698706120704?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"A leading consulting firm is seeking a Graphic Artist to enhance marketing and e-commerce efforts. The candidate will be responsible for designing engaging visuals for online campaigns and product promotions. Ideal applicants should have at least 2–3 years of experience in graphic design, strong skills in Adobe Creative Suite, and a keen eye for detail. This position requires creativity, multitasking, and the ability to work under tight deadlines. A full-time, onsite role in Taguig City, with a ",2026-01-11T00:00:00.000Z,"Adobe Creative Suite, PHP, Graphic Design"
Graphic Designer (experience in creating publication designs),EnablesGROUP,Pasig Metro Manila PH,https://ph.indeed.com/viewjob?jk=276aecfad103c60a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Join the enablesGROUP – Where Talent Meets Opportunity!

Why Join enablesGROUP?

Since 2016, enablesGROUP has been on a mission: to deliver high-quality operations and outsourcing services to every client, big or small.

Fast forward to 2025, we’ve grown our global footprint to serve 100+ clients and expanded into 4 key industries. At Enables Group, you’re not just joining a company – you’re joining a community that values growth, learning, and success. Check us out at www.enablesgroup.com.

At ",2026-01-07T00:00:00.000Z,"Photoshop, Illustrator, InDesign, Figma, AI"
Email Graphic Designer - 48791366701,Confidential,Taguig Metro Manila PH,https://taguig.ph.expertini.com/job/email-graphic-designer-48791366701-taguig-confidential-649-5066179/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"Job Title: Email Graphic Designer
Job Type: Full-time / Remote
Work Hours: PST

Job Overview:
We’re helping our client find a talented Email Graphic Designer to create visually stunning and high-performing email campaigns. In this role, you will collaborate closely with creative and marketing teams to design, optimize, and deliver digital assets that elevate the brand’s online presence and drive engagement.
Responsibilities:
• Design visually stunning and impactful email campaigns that align wit",2026-01-14T00:00:00.000Z,"Figma, HTML, CSS, Communication, Project Management, Graphic Design"
Multimedia Graphic Designer,ED3N Ventures,Makati City Metro Manila PH,https://builtin.com/job/multimedia-graphic-designer/7828899?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,JSearch,,Full-time,"A Multimedia Graphic Designer is a creative professional specializing in creating visually compelling and engaging content across various digital and print platforms. They use a combination of graphic design, animation, video production, and digital media to convey messages, promote brands, and captivate audiences. This role typically requires a blend of artistic ability, technical skills, and an understanding of design principles, multimedia tools, and storytelling techniques.
Key Responsibilit",2026-01-17T00:00:00.000Z,"Photoshop, Illustrator, InDesign, Figma, Sketch, Adobe XD, After Effects, Premiere Pro, Adobe Creative Suite, HTML, CSS, Communication, Graphic Design, Web Design, Motion Graphics, Video Editing, Animation, Typography, Branding, Social Media"
